,2,3,4,5,6,7,8,9,10,-2,-3,-4,-5,-6,-7,-8,-9,-10
-2,1,3/2,2,5/2,3,7/2,4,9/2,5,16,32/3,8,32/5,16/3,32/7,4,32/9,16/5
-3,2/3,1,4/3,5/3,2,7/3,8/3,3,10/3,32/3,64/9,16/3,64/15,32/9,64/21,8/3,64/27,32/15
-4,1/2,3/4,1,5/4,3/2,7/4,2,9/4,5/2,8,16/3,4,16/5,8/3,16/7,2,16/9,8/5
-5,2/5,3/5,4/5,1,6/5,7/5,8/5,9/5,2,32/5,64/15,16/5,64/25,32/15,64/35,8/5,64/45,32/25
-6,1/3,1/2,2/3,5/6,1,7/6,4/3,3/2,5/3,16/3,32/9,8/3,32/15,16/9,32/21,4/3,32/27,16/15
-7,2/7,3/7,4/7,5/7,6/7,1,8/7,9/7,10/7,32/7,64/21,16/7,64/35,32/21,64/49,8/7,64/63,32/35
-8,1/4,3/8,1/2,5/8,3/4,7/8,1,9/8,5/4,4,8/3,2,8/5,4/3,8/7,1,8/9,4/5
-9,2/9,1/3,4/9,5/9,2/3,7/9,8/9,1,10/9,32/9,64/27,16/9,64/45,32/27,64/63,8/9,64/81,32/45
-10,1/5,3/10,2/5,1/2,3/5,7/10,4/5,9/10,1,16/5,32/15,8/5,32/25,16/15,32/35,4/5,32/45,16/25
2,1/16,3/32,1/8,5/32,3/16,7/32,1/4,9/32,5/16,1,2/3,1/2,2/5,1/3,2/7,1/4,2/9,1/5
3,3/32,9/64,3/16,15/64,9/32,21/64,3/8,27/64,15/32,3/2,1,3/4,3/5,1/2,3/7,3/8,1/3,3/10
4,1/8,3/16,1/4,5/16,3/8,7/16,1/2,9/16,5/8,2,4/3,1,4/5,2/3,4/7,1/2,4/9,2/5
5,5/32,15/64,5/16,25/64,15/32,35/64,5/8,45/64,25/32,5/2,5/3,5/4,1,5/6,5/7,5/8,5/9,1/2
6,3/16,9/32,3/8,15/32,9/16,21/32,3/4,27/32,15/16,3,2,3/2,6/5,1,6/7,3/4,2/3,3/5
7,7/32,21/64,7/16,35/64,21/32,49/64,7/8,63/64,35/32,7/2,7/3,7/4,7/5,7/6,1,7/8,7/9,7/10
8,1/4,3/8,1/2,5/8,3/4,7/8,1,9/8,5/4,4,8/3,2,8/5,4/3,8/7,1,8/9,4/5
9,9/32,27/64,9/16,45/64,27/32,63/64,9/8,81/64,45/32,9/2,3,9/4,9/5,3/2,9/7,9/8,1,9/10
10,5/16,15/32,5/8,25/32,15/16,35/32,5/4,45/32,25/16,5,10/3,5/2,2,5/3,10/7,5/4,10/9,1
