Designator,Mid X,Mid Y,Layer,Rotation
C20,203.00,-26.40,T,270.00
C22,215.65,-55.90,T,0.00
J42,219.46,-90.50,T,0.00
J43,239.47,-12.62,T,0.00
J44,244.55,-12.62,T,0.00
J45,249.63,-12.62,T,0.00
J46,254.71,-12.62,T,0.00
J47,259.79,-12.62,T,0.00
J48,219.72,-95.50,T,0.00
J49,280.17,-4.50,T,180.00
J60,285.12,-4.50,T,0.00
J61,213.00,-95.50,T,0.00
J62,205.46,-95.50,T,0.00
J63,293.40,-4.50,T,0.00
J64,264.87,-12.62,T,0.00
J66,232.02,-4.54,T,270.00
J67,267.88,-95.46,T,90.00
J73,281.91,-42.56,T,270.00
J74,281.91,-47.65,T,270.00
J75,281.91,-52.73,T,270.00
J76,281.91,-57.80,T,270.00
J77,281.91,-62.88,T,270.00
J78,281.91,-67.97,T,270.00
J79,281.91,-73.05,T,270.00
J80,281.91,-78.12,T,270.00
J81,281.91,-83.20,T,270.00
J85,205.00,-54.00,T,180.00
J86,297.00,-54.00,T,180.00
J88,226.11,-48.51,T,0.00
R34,232.20,-27.92,T,270.00
R35,212.83,-14.80,T,180.00
R36,225.83,-17.50,T,180.00
R37,228.33,-14.00,T,180.00
R38,205.60,-69.18,T,90.00
R39,205.25,-73.92,T,270.00
R40,227.52,-95.60,T,0.00
R41,210.20,-81.32,T,270.00
U12,208.42,-27.92,T,90.00
U13,212.98,-58.86,T,0.00
